Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
2024;5;66;66043;Casteil;01/01/2024 12:02;2000;2000;0;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;27351;77;77186;Fontainebleau;01/01/2024 13:48;2;2;;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;20474;11;11322;Roquefort-des-Corbières;01/01/2024 20:42;100;10;90;0;0;0;;;;;Mesurées;1;;Non;;;;
2024;353;2B;2B029;Barbaggio;03/01/2024 11:36;1946500;0;1946500;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;122;2B;2B124;Ghisoni;03/01/2024 12:59;2000;0;2000;0;0;0;;;;;Estimées;;;Non;;;;
2024;124;2B;2B079;Castello-di-Rostino;03/01/2024 23:05;35000;0;35000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;127;2B;2B293;Sant'Andréa-di-Cotone;04/01/2024 13:51;10000;0;10000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;128;2B;2B356;Zalana;04/01/2024 14:48;500;0;500;0;0;0;;;;;Estimées;;;Non;;;;
2024;159;66;66042;Cassagnes;08/01/2024 14:12;20000;20000;0;0;0;0;;;;;Mesurées;;Accidentelle;Non;;;;
2024;355;48;48067;Gabriac;08/01/2024 17:33;5600;5600;0;0;0;0;;;;;Mesurées;5;;Non;;;;
2024;169;66;66116;Montferrer;09/01/2024 12:33;200;200;0;0;0;0;;;;;Estimées;;;Non;;;;
2024;20490;11;11098;Conilhac-Corbières;09/01/2024 16:56;17533;0;17533;0;0;0;;;;;Mesurées;1;;Non;;;;
2024;27082;64;64444;Pardies-Piétat;14/01/2024 12:57;3;3;;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;0;0;0;
2024;146;2B;2B290;Speloncato;15/01/2024 11:04;150000;0;150000;0;0;0;;;;;Estimées;;;Non;;;;
2024;147;2B;2B242;Poggio-Mezzana;17/01/2024 15:25;3000;0;3000;0;0;0;;;;;Estimées;;;Non;;;;
2024;20504;11;11031;Belfort-sur-Rebenty;18/01/2024 12:31;600;600;0;0;0;0;;;;;Mesurées;;Involontaire (travaux);Non;;;;
2024;22475;88;88124;Darney;18/01/2024 17:57;10;10;;0;0;0;;;;;Estimées;;;Non;;;;
2024;143;34;34097;Félines-Minervois;18/01/2024 18:00;1632;0;1632;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;20095;56;56212;Saint-Dolay;18/01/2024 18:32;4;4;;0;0;0;;;;;Estimées;;;Non;;;;
2024;20507;11;11379;Sigean;18/01/2024 19:07;10;0;10;0;0;0;;;;;Mesurées;1;Accidentelle;Non;;;;
2024;149;2B;2B046;Cagnano;19/01/2024 05:14;300;0;300;0;0;0;;;;;Estimées;;;Non;;;;
2024;19130;13;13055;Marseille;19/01/2024 21:51;15;0;15;0;0;0;;;;;Estimées;1;;Non;;;;
2024;151;2B;2B286;Sorbo-Ocagnano;20/01/2024 18:33;1500;0;1500;0;0;0;;;;;Estimées;;;Non;;;;
2024;27354;77;77006;Arbonne-la-Forêt;21/01/2024 10:01;4;4;;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;205;66;66150;Prats-de-Mollo-la-Preste;21/01/2024 16:15;800;800;0;0;0;0;;;;;Mesurées;;;Non;;;;
2024;154;06;06049;Courmes;22/01/2024 11:48;41600;0;41600;0;0;0;;;;;Estimées;1;;Non;;;;
2024;217;2B;2B281;Sisco;22/01/2024 16:45;3000;0;3000;0;0;0;;;;;Estimées;;;Non;;;;
2024;28856;07;07025;Barnas;22/01/2024 17:57;127700;200;127500;0;0;0;;;;;Mesurées;5;;Non;;;;
2024;218;2B;2B307;Santa-Lucia-di-Moriani;23/01/2024 02:00;50000;0;50000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;255;34;34092;Cruzy;23/01/2024 18:39;3098;0;3098;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;20515;11;11401;Tuchan;24/01/2024 14:52;400;0;400;0;0;0;;;;;Mesurées;1;Involontaire (particulier);Non;;;;
2024;251;34;34079;Clermont-l'Hérault;25/01/2024 18:18;17;0;17;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
